Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,drug,concentration_um,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
JMNHTA,p001,A01,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A02,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A03,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A04,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A05,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A06,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A07,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A08,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A09,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A10,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A11,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,A12,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,0,see notion,N2,1,,,
JMNHTA,p001,B01,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B02,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B03,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B04,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B05,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B06,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B07,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B08,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B09,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B10,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B11,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,B12,48h,10,HB101_10_11_2023,DMSO,Bleach_JB,25,see notion,N2,1,,,
JMNHTA,p001,C01,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C02,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C03,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C04,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C05,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C06,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C07,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C08,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C09,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C10,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C11,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,C12,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,0,see notion,N2,1,,,
JMNHTA,p001,D01,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D02,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D03,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D04,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D05,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D06,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D07,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
JMNHTA,p001,D08,48h,10,HB101_10_11_2023,DMSO,Bleach_MM,25,see notion,N2,1,,,
