"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","drug","concentration_um","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um","median_wormlength_um_delta"
"JMNHTA_p001_A01","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A01",20241025,"p001_A01","m2x","20241025-JMNHTA-p001-m2x_A01.TIF",0.964478274659055,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",887.782341671697,823.11435633507,840.245017717316,877.147305670742,893.891881199897,32.4027562823313,906.852684424991,924.714667915192,946.970593464849,0.036498536590981,22,"JMNHTA_1",-12.9044747603948,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-15.4546305649939
"JMNHTA_p001_A02","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A02",20241025,"p001_A02","m2x","20241025-JMNHTA-p001-m2x_A02.TIF",0.946361264134532,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",889.531064023897,842.405657466569,872.248755147955,882.129855147956,886.868172560865,22.0560740571714,903.764663563488,920.152841360967,931.003209047185,0.0247951701173855,21,"JMNHTA_1",-19.928183399429,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-22.4783392040262
"JMNHTA_p001_A03","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A03",20241025,"p001_A03","m2x","20241025-JMNHTA-p001-m2x_A03.TIF",1.06441393875396,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",861.594990589507,788.501798836307,813.295742313627,832.199406669993,864.171084755857,40.1367720009428,889.556601880382,911.007072360081,934.401064145334,0.046584268060195,25,"JMNHTA_1",-42.6252712044342,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-45.1754270090339
"JMNHTA_p001_A04","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A04",20241025,"p001_A04","m2x","20241025-JMNHTA-p001-m2x_A04.TIF",1,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","non-worm",890.979096426196,829.558755027764,850.951467175923,865.888582972568,893.501109933182,33.2379304664351,913.117369807715,931.171317699388,948.131955027764,0.0373049498015786,22,"JMNHTA_1",-13.2952460271099,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-15.8454018317087
"JMNHTA_p001_A05","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A05",20241025,"p001_A05","m2x","20241025-JMNHTA-p001-m2x_A05.TIF",0.985097323600973,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",878.043904080294,824.949939615429,849.34408922162,864.261050372459,873.453413778218,24.4656534659091,892.555984176549,910.109955291294,930.308178514169,0.0278638156386219,23,"JMNHTA_1",-33.3429421820747,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-35.8930979866735
"JMNHTA_p001_A06","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A06",20241025,"p001_A06","m2x","20241025-JMNHTA-p001-m2x_A06.TIF",0.924839340597932,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",895.646833475784,833.668962428025,867.964938599553,879.330016029755,901.190330904588,24.5834370604945,910.955611605067,922.10174437351,933.264962256181,0.0274476904753766,18,"JMNHTA_1",-5.60602505570386,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-8.1561808603027
"JMNHTA_p001_A07","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A07",20241025,"p001_A07","m2x","20241025-JMNHTA-p001-m2x_A07.TIF",0.957758873569962,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",890.070851994787,831.708736562584,847.379025912577,868.292988093391,894.465308415531,30.0683293467632,911.054291719312,927.665186293917,936.661502462228,0.0337819503687548,25,"JMNHTA_1",-12.3310475447613,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-14.8812033493601
"JMNHTA_p001_A08","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A08",20241025,"p001_A08","m2x","20241025-JMNHTA-p001-m2x_A08.TIF",0.962032710280374,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",903.777861413797,841.69267676863,871.918737190739,887.855031274376,899.018028514169,31.370212409577,920.087811555211,944.636891910525,959.443165309026,0.0347100916595855,16,"JMNHTA_1",-7.7783274461235,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-10.3284832507223
"JMNHTA_p001_A09","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A09",20241025,"p001_A09","m2x","20241025-JMNHTA-p001-m2x_A09.TIF",0.946719012899607,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",925.712698431879,898.484762399795,899.68059948119,904.408372706326,919.49959585527,23.2372225810884,941.974606270562,950.69278837993,974.684488675239,0.0251019810146835,16,"JMNHTA_1",12.7032398949775,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,10.1530840903787
"JMNHTA_p001_A10","JMNHTA_1_N2_Bleach_JB","JMNHTA","p001","A10",20241025,"p001_A10","m2x","20241025-JMNHTA-p001-m2x_A10.TIF",0.937568756875688,"48h",10,"HB101_10_11_2023","DMSO","Bleach_JB",0,"see notion","N2",1,NA,NA,NA,"/vast/eande106/projects/Nikita/Filtration/Experiment_2/20241025-JMNR4-devanalysis/20241025-JMNR4-p004-m2x/Analysis-20241104/processed_images/","Bleach_JB_0_N2","worm",907.834798592958,850.032201880382,879.74150549254,894.054961784238,908.858967412908,21.6653938094011,924.184771799847,931.839654015481,938.962101880382,0.0238649078477494,24,"JMNHTA_1",2.06261145261602,906.796355960292,2.51889879433672,359.997137637707,3.36847714449248e-283,909.346511764891,-0.48754435198282
