Date,Replicate,Person,Method,Method_Replicate,Replicate_person,Aliquot volume (µL),Rep 1,Rep 2,Rep 3,Rep 4,Rep 5,Average embryo count,Embryo/ µL,Volume needed for 1800 Embryos,Add K- medium (mL),Total number of embryos obtained from 2 plates,Embryos_per_plate
2024-September-9,R1,JC,Bleach,Bleach_1,R1_JC,3,4,5,5,5,12,6.2,2.07,870.97,2129.03,6200,3100
2024-September-9,R1,JC,Filtration,Filtration_1,R1_JC,3,5,8,9,16,11,9.8,3.27,551.02,2448.98,9800,4900
2024-September-9,R1,MM,Bleach,Bleach_1,R1_MM,3,5,10,5,3,6,5.8,1.93,931.03,2068.97,5800,2900
2024-September-9,R1,MM,Filtration,Filtration_1,R1_MM,3,3,6,16,4,5,6.8,2.27,794.12,2205.88,6800,3400
2024-September-9,R1,NJ,Bleach,Bleach_1,R1_NJ,3,6,5,4,5,4,4.8,1.6,1125,1875,4800,2400
2024-September-9,R1,NJ,Filtration,Filtration_1,R1_NJ,3,13,13,8,10,12,11.2,3.73,482.14,2517.86,11200,5600
10th September 2024,R2,JC,Bleach,Bleach_2,R2_JC,3,12,11,14,11,17,13,4.33,415.38,2584.62,13000,6500
10th September 2024,R2,JC,Filtration,Filtration_2,R2_JC,3,9,3,5,8,10,7,2.33,771.43,2228.57,7000,3500
10th September 2024,R2,MM,Bleach,Bleach_2,R2_MM,3,5,2,2,4,4,3.4,1.13,1588.24,1411.76,3400,1700
10th September 2024,R2,MM,Filtration,Filtration_2,R2_MM,3,20,14,11,12,13,14,4.67,385.71,2614.29,14000,7000
10th September 2024,R2,NJ,Bleach,Bleach_2,R2_NJ,3,2,6,4,7,4,4.6,1.53,1173.91,1826.09,4600,2300
10th September 2024,R2,NJ,Filtration,Filtration_2,R2_NJ,3,3,6,6,9,3,5.4,1.8,1000,2000,5400,2700
22nd October 2024,R3,JC,Bleach,Bleach_3,R3_JC,3,5,6,7,8,5,6.2,2.07,870.97,2129.03,6200,3100
22nd October 2024,R3,JC,Filtration,Filtration_3,R3_JC,3,7,10,8,9,6,8,2.67,675,2325,8000,4000
22nd October 2024,R3,MM,Bleach,Bleach_3,R3_MM,3,9,10,13,9,17,11.6,3.87,465.52,2534.48,11600,5800
22nd October 2024,R3,MM,Filtration,Filtration_3,R3_MM,3,9,7,14,16,16,12.4,4.13,435.48,2564.52,12400,6200
